Date;Open*;High;Low;Close**;Volume;Market Cap
Dec 01, 2019;7.571,62;7.571,62;7.291,34;7.424,29;18.720.708.479;134.215.145.410
Nov 30, 2019;7.764,06;7.836,10;7.515,85;7.569,63;17.158.194.786;136.829.391.049
Nov 29, 2019;7.466,73;7.781,18;7.460,76;7.761,24;19.709.695.456;140.280.108.521
Nov 28, 2019;7.536,82;7.730,07;7.454,12;7.463,11;19.050.116.751;134.879.411.013
Nov 27, 2019;7.220,88;7.619,69;6.974,17;7.531,66;23.991.412.764;136.102.712.894
Nov 26, 2019;7.145,16;7.320,23;7.098,57;7.218,37;21.129.505.542;130.429.018.720
Nov 25, 2019;7.039,98;7.319,86;6.617,17;7.146,13;42.685.231.262;129.112.952.930
Nov 24, 2019;7.398,63;7.408,58;7.029,29;7.047,92;30.433.517.289;127.327.398.565
Nov 23, 2019;7.296,16;7.442,26;7.151,42;7.397,80;21.008.924.418;133.636.205.957
Nov 22, 2019;7.643,57;7.697,38;6.936,71;7.296,58;34.242.315.785;131.791.783.672
Nov 21, 2019;8.023,64;8.110,10;7.597,38;7.642,75;22.514.243.371;138.031.885.379
Nov 20, 2019;8.203,61;8.237,24;8.010,51;8.027,27;20.764.300.437;144.962.727.398
Nov 19, 2019;8.305,13;8.408,52;8.099,96;8.206,15;21.083.613.816;148.178.376.843
Nov 18, 2019;8.573,98;8.653,28;8.273,57;8.309,29;21.579.470.673;150.025.712.267
Nov 17, 2019;8.549,47;8.727,79;8.500,97;8.577,98;18.668.638.897;154.861.842.425
Nov 16, 2019;8.491,17;8.592,00;8.473,97;8.550,76;16.495.389.808;154.354.054.194
Nov 15, 2019;8.705,71;8.730,87;8.484,84;8.491,99;21.796.856.471;153.277.483.626
Nov 14, 2019;8.811,94;8.826,94;8.692,55;8.708,10;19.084.739.975;157.160.974.644
Nov 13, 2019;8.812,03;8.836,84;8.761,65;8.808,26;17.545.755.405;158.949.942.842
Nov 12, 2019;8.759,75;8.853,77;8.685,43;8.815,66;20.309.769.107;159.068.712.900
Nov 11, 2019;9.056,92;9.081,28;8.700,61;8.757,79;20.265.510.765;158.009.772.437
